ticker,period,date,premium_discount_pct
RSP,previousYear,2025-03-23,-0.003234
RSP,previousYear,2025-03-24,-0.033231
RSP,previousYear,2025-03-25,-0.023617
RSP,previousYear,2025-03-26,0.017157
RSP,previousYear,2025-03-27,-0.01146
RSP,previousYear,2025-03-28,-0.024617
RSP,previousYear,2025-03-29,-0.024617
RSP,previousYear,2025-03-30,-0.024617
RSP,previousYear,2025-03-31,0.022417
RSP,previousYear,2025-04-01,-0.041913
RSP,previousYear,2025-04-02,-0.036356
RSP,previousYear,2025-04-03,-0.000687
RSP,previousYear,2025-04-04,0.022698
RSP,previousYear,2025-04-05,0.022698
RSP,previousYear,2025-04-06,0.022698
RSP,previousYear,2025-04-07,0.012405
RSP,previousYear,2025-04-08,0.03818
RSP,previousYear,2025-04-09,-0.068785
RSP,previousYear,2025-04-10,-0.029283
RSP,previousYear,2025-04-11,-0.036702
RSP,previousYear,2025-04-12,-0.036702
RSP,previousYear,2025-04-13,-0.036702
RSP,previousYear,2025-04-14,-0.032341
RSP,previousYear,2025-04-15,-0.012983
RSP,previousYear,2025-04-16,-0.026647
RSP,previousYear,2025-04-17,0.016721
RSP,previousYear,2025-04-18,0.016721
RSP,previousYear,2025-04-19,0.016721
RSP,previousYear,2025-04-20,0.016721
RSP,previousYear,2025-04-21,-0.004418
RSP,previousYear,2025-04-22,0.018989
RSP,previousYear,2025-04-23,-0.066462
RSP,previousYear,2025-04-24,0.045694
RSP,previousYear,2025-04-25,-0.031098
RSP,previousYear,2025-04-26,-0.031098
RSP,previousYear,2025-04-27,-0.031098
RSP,previousYear,2025-04-28,-0.031236
RSP,previousYear,2025-04-29,-0.02937
RSP,previousYear,2025-04-30,-0.08645
RSP,previousYear,2025-05-01,0.013563
RSP,previousYear,2025-05-02,-0.037316
RSP,previousYear,2025-05-03,-0.037316
RSP,previousYear,2025-05-04,-0.037316
RSP,previousYear,2025-05-05,0.017192
RSP,previousYear,2025-05-06,-0.026198
RSP,previousYear,2025-05-07,0.002465
RSP,previousYear,2025-05-08,0.018903
RSP,previousYear,2025-05-09,-0.012788
RSP,previousYear,2025-05-10,-0.012788
RSP,previousYear,2025-05-11,-0.012788
RSP,previousYear,2025-05-12,-0.052679
RSP,previousYear,2025-05-13,-0.01611
RSP,previousYear,2025-05-14,-0.001907
RSP,previousYear,2025-05-15,0.019794
RSP,previousYear,2025-05-16,-0.020979
RSP,previousYear,2025-05-17,-0.020979
RSP,previousYear,2025-05-18,-0.020979
RSP,previousYear,2025-05-19,-0.011004
RSP,previousYear,2025-05-20,0.00536
RSP,previousYear,2025-05-21,0.034834
RSP,previousYear,2025-05-22,-0.023953
RSP,previousYear,2025-05-23,-0.006981
RSP,previousYear,2025-05-24,-0.006981
RSP,previousYear,2025-05-25,-0.006981
RSP,previousYear,2025-05-26,-0.006981
RSP,previousYear,2025-05-27,0.015725
RSP,previousYear,2025-05-28,-0.028369
RSP,previousYear,2025-05-29,-0.012584
RSP,previousYear,2025-05-30,-0.005439
RSP,previousYear,2025-05-31,-0.005439
RSP,previousYear,2025-06-01,-0.005439
RSP,previousYear,2025-06-02,-0.044482
RSP,previousYear,2025-06-03,0.046721
RSP,previousYear,2025-06-04,-0.00968
RSP,previousYear,2025-06-05,0.008887
RSP,previousYear,2025-06-06,0.023038
RSP,previousYear,2025-06-07,0.023038
